CITY,,,SUB REGION,,,id_outlet,
,,,,,,86005-PER-KECAPI-HARJAMUKTI-CIREBON,110141
,,,,,,86004-PON-HARJAMUKTI-HARJAMUKTI-CIREBON,110142
,,,,,,86003-ECA-KALIJAGA-HARJAMUKTI-CIREBON,110143
,,,,,,86002-VIE-HARJAMUKTI-HARJAMUKTI-CIREBON,110144
,,,,,,86001-ALI-KALIJAGA-HARJAMUKTI-CIREBON,110145
,,,,,,85030_R1-SUK-BOBOJONG-MANDE-CIANJUR,110146
,,,,,,85024-DAN-SAYANG-CIANJUR-CIANJUR,110147
,,,,,,85022-SAL-MUKA-CIANJUR-CIANJUR,110148
,,,,,,85015_R1-H&R-BOJONG-KARANGTENGAH-CIANJUR,110149
,,,,,,85005-ONE-BOJONG-KARANGTENGAH-CIANJUR,110150
,,,,,,85003-DEL-MALEBER-KARANGTENGAH-CIANJUR,110151
,,,,,,989116_R11-TP -KERTAJAYA-PADALARANG-BANDUNG BARAT (PADALARANG),110152
,,,,,,84012-AL -CIBURUY-PADALARANG-BANDUNG BARAT (PADALARANG),110153
,,,,,,84010-KEL-KERTAMULYA-PADALARANG-BANDUNG BARAT (PADALARANG),110154
,,,,,,84009-BLU-KERTAMULYA-PADALARANG-BANDUNG BARAT (PADALARANG),110155
,,,,,,84008-RAS-KERTAJAYA-PADALARANG-BANDUNG BARAT (PADALARANG),110156
,,,,,,84004_R1-HEN-CIMERANG-PADALARANG-BANDUNG BARAT (PADALARANG),110157
,,,,,,84003_R3-KS -CIMERANG-PADALARANG-BANDUNG BARAT (PADALARANG),110158
,,,,,,902002_R1-LAR-GUDANGKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG),110159
,,,,,,83010-AZZ-KAYUAMBON-LEMBANG-BANDUNG BARAT (LEMBANG),110160
,,,,,,83009-PAN-CIKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG),110161
,,,,,,83008-NHO-SUKAJAYA-LEMBANG-BANDUNG BARAT (LEMBANG),110162
,,,,,,83007-INT-GUDANGKAHURIPAN-LEMBANG-BANDUNG BARAT (LEMBANG),110163
,,,,,,83006-R1-YUN-LEMBANG-LEMBANG-BANDUNG BARAT (LEMBANG),110164
,,,,,,83005_R1-DIA-MEKARWANGI-LEMBANG-BANDUNG BARAT (LEMBANG),110165
,,,,,,83004-R1-TWI-SUKAJAYA-LEMBANG-BANDUNG BARAT (LEMBANG),110166
,,,,,,83003-BAL-KAYUAMBON-LEMBANG-BANDUNG BARAT (LEMBANG),110167
,,,,,,83002_R1-SUK-LEMBANG-LEMBANG-BANDUNG BARAT (LEMBANG),110168
,,,,,,83001-MOR-JAYAGIRI-LEMBANG-BANDUNG BARAT (LEMBANG),110169
,,,,,,949060_R1-ANY-CIGUGUR TENGAH-CIMAHI TENGAH-CIMAHI,110170
,,,,,,82014-HAR-MELONG-CIMAHI SELATAN-CIMAHI,110171
,,,,,,82013_R1-SAL-CIBEUREUM-CIMAHI SELATAN-CIMAHI,110172
,,,,,,82011_R2-FIA-MELONG-CIMAHI SELATAN-CIMAHI,110173
,,,,,,82008_R1-FEL-CIGUGUR TENGAH-CIMAHI TENGAH-CIMAHI,110174
,,,,,,82007-VIV-BAROS-CIMAHI TENGAH-CIMAHI,110175
,,,,,,82006-INS-CIGUGUR TENGAH-CIMAHI TENGAH-CIMAHI,110176
